Sl #,Product Name,"Pack
Size","Product
List","MRP
(Tk)","Trade 
Price (Tk)
Incl. VAT","Retailer
Profit","Total
Purchage","Total 
Sales","Total 
Sales
Amount",Commission,Stock,Status
53, GERMNIL DETERGENT POWDER , 500 GM , GERMNIL DETERGENT POWDER_500 GM ,  120.00 ,  100.00 ,  20.00 ,,,,,,
54, GERMNIL DETERGENT POWDER , 400 GM , GERMNIL DETERGENT POWDER_400 GM ,  100.00 ,  83.00 ,  17.00 ,,,,,,
55, GERMNIL DETERGENT POWDER REGULAR , 400 GM , GERMNIL DETERGENT POWDER REGULAR_400 GM ,  76.00 ,  62.00 ,  14.00 ,,,,,,
56, GERMNIL DETERGENT POWDER MINI PACK (12 PC PACK) , 18 GM , GERMNIL DETERGENT POWDER MINI PACK (12 PC PACK)_18 GM ,  60.00 ,  50.00 ,  10.00 ,,,,,,
57, GERMNIL DISHWASHING MAGIC BAR , 80 GM , GERMNIL DISHWASHING MAGIC BAR_80 GM ,  10.00 ,  7.50 ,  2.50 ,,,,,,
58, GERMNIL DISHWASHING MAGIC BAR , 300 GM , GERMNIL DISHWASHING MAGIC BAR_300 GM ,  40.00 ,  32.00 ,  8.00 ,,,,,,
59, GERMNIL MOSQUITO SOLUTION , 500 ML , GERMNIL MOSQUITO SOLUTION_500 ML ,  520.00 ,  420.00 ,  100.00 ,,,,,,
60, GERMNIL AIRFRESHNER JASMINE , 1 PC , GERMNIL AIRFRESHNER JASMINE_1 PC ,  60.00 ,  50.00 ,  10.00 ,,,,,,
61, GERMNIL AIRFRESHNER LAVENDER , 1 PC , GERMNIL AIRFRESHNER LAVENDER_1 PC ,  60.00 ,  50.00 ,  10.00 ,,,,,,
62, GERMNIL AIRFRESHNER ROSE , 1 PC , GERMNIL AIRFRESHNER ROSE_1 PC ,  60.00 ,  50.00 ,  10.00 ,,,,,,
63, GERMNIL PREMIUM FABRIC MASK BLACK , S , GERMNIL PREMIUM FABRIC MASK BLACK_S ,  80.00 ,  60.00 ,  20.00 ,,,,,,
64, GERMNIL PREMIUM FABRIC MASK BLACK , M , GERMNIL PREMIUM FABRIC MASK BLACK_M ,  80.00 ,  60.00 ,  20.00 ,,,,,,
65, GERMNIL PREMIUM FABRIC MASK BLACK , L , GERMNIL PREMIUM FABRIC MASK BLACK_L ,  80.00 ,  60.00 ,  20.00 ,,,,,,
66, GERMNIL PREMIUM FABRIC MASK BLUE , S , GERMNIL PREMIUM FABRIC MASK BLUE_S ,  80.00 ,  60.00 ,  20.00 ,,,,,,
67, GERMNIL PREMIUM FABRIC MASK BLUE , M , GERMNIL PREMIUM FABRIC MASK BLUE_M ,  80.00 ,  60.00 ,  20.00 ,,,,,,
68, GERMNIL PREMIUM FABRIC MASK BLUE , L , GERMNIL PREMIUM FABRIC MASK BLUE_L ,  80.00 ,  60.00 ,  20.00 ,,,,,,
69, GERMNIL PREMIUM FABRIC MASK OILVE , S , GERMNIL PREMIUM FABRIC MASK OILVE_S ,  80.00 ,  60.00 ,  20.00 ,,,,,,
70, GERMNIL PREMIUM FABRIC MASK OILVE , M , GERMNIL PREMIUM FABRIC MASK OILVE_M ,  80.00 ,  60.00 ,  20.00 ,,,,,,
71, GERMNIL PREMIUM FABRIC MASK OILVE , L , GERMNIL PREMIUM FABRIC MASK OILVE_L ,  80.00 ,  60.00 ,  20.00 ,,,,,,
72, GERMNIL SHOWER GEL ELEGANCE , 250 ML , GERMNIL SHOWER GEL ELEGANCE_250 ML ,  270.00 ,  200.00 ,  70.00 ,,,,,,
73, GERMNIL SHOWER GEL FRUITY , 250 ML , GERMNIL SHOWER GEL FRUITY_250 ML ,  270.00 ,  200.00 ,  70.00 ,,,,,,
74, GERMNIL SHOWER GEL LAVENDER , 250 ML , GERMNIL SHOWER GEL LAVENDER_250 ML ,  270.00 ,  200.00 ,  70.00 ,,,,,,
75, GERMNIL SHOWER GEL SILK , 250 ML , GERMNIL SHOWER GEL SILK_250 ML ,  350.00 ,  280.00 ,  70.00 ,,,,,,
76, GERMNIL SHOWER GEL ELEGANCE PUMP , 400 ML , GERMNIL SHOWER GEL ELEGANCE PUMP_400 ML ,  370.00 ,  265.00 ,  105.00 ,,,,,,
77, GERMNIL SHOWER GEL FRUITY PUMP , 400 ML , GERMNIL SHOWER GEL FRUITY PUMP_400 ML ,  370.00 ,  265.00 ,  105.00 ,,,,,,
78, SIGNATURE SHAMPOO , 200 ML , SIGNATURE SHAMPOO_200 ML ,  250.00 ,  200.00 ,  50.00 ,,,,,,
79, SIGNATURE SHAMPOO , 400 ML , SIGNATURE SHAMPOO_400 ML ,  400.00 ,  315.00 ,  85.00 ,,,,,,
80, SIGNATURE SHAMPOO MINI PACK , 12 PC , SIGNATURE SHAMPOO MINI PACK_12 PC ,  24.00 ,  20.00 ,  4.00 ,,,,,,
81, SIGNATURE ANTIDANDRUF SHAMPOO , 200 ML , SIGNATURE ANTIDANDRUF SHAMPOO_200 ML ,  500.00 ,  410.00 ,  90.00 ,,,,,,
82, SIGNATURE ANTIDANDRUF SHAMPOO MINI PACK , 5 ML , SIGNATURE ANTIDANDRUF SHAMPOO MINI PACK_5 ML ,  10.00 ,  8.00 ,  2.00 ,,,,,,
83, SIGNATURE DEEP MOISTURIZING LOTION , 200 ML , SIGNATURE DEEP MOISTURIZING LOTION_200 ML ,  300.00 ,  250.00 ,  50.00 ,,,,,,
84, SIGNATURE DEEP MOISTURIZING LOTION WOMEN , 200 ML , SIGNATURE DEEP MOISTURIZING LOTION WOMEN_200 ML ,  300.00 ,  250.00 ,  50.00 ,,,,,,
85, SIGNATURE COCONUT OIL , 100 ML , SIGNATURE COCONUT OIL_100 ML ,  400.00 ,  320.00 ,  80.00 ,,,,,,
86, SIGNATURE OLIVE OIL , 100 ML , SIGNATURE OLIVE OIL_100 ML ,  200.00 ,  150.00 ,  50.00 ,,,,,,
87, SIGNATURE OLIVE OIL (ORANGE FLAVOUR) , 100 ML , SIGNATURE OLIVE OIL (ORANGE FLAVOUR)_100 ML ,  220.00 ,  170.00 ,  50.00 ,,,,,,
88, SIGNATURE MOISTURIZING CREAM , 70 GM , SIGNATURE MOISTURIZING CREAM_70 GM ,  350.00 ,  270.00 ,  80.00 ,,,,,,
89, SIGNATURE LIP CARE , 10 GM , SIGNATURE LIP CARE_10 GM ,  80.00 ,  65.00 ,  15.00 ,,,,,,
90, SIGNATURE LIP CARE , 20 GM , SIGNATURE LIP CARE_20 GM ,  100.00 ,  75.00 ,  25.00 ,,,,,,
91, SIGNATURE PERFUMED SOAP , 100 GM , SIGNATURE PERFUMED SOAP_100 GM ,  80.00 ,  65.00 ,  15.00 ,,,,,,
92, BMTF TASTY SALINE , 20 PC , BMTF TASTY SALINE_20 PC ,  140.00 ,  107.00 ,  33.00 ,,,,,,
93, BMTF TASTY TONGUE ORANGE , 20 PC , BMTF TASTY TONGUE ORANGE_20 PC ,  300.00 ,  240.00 ,  60.00 ,,,,,,
94, BMTF TASTY TONGUE MANGO , 20 PC , BMTF TASTY TONGUE MANGO_20 PC ,  300.00 ,  240.00 ,  60.00 ,,,,,,
95, BMTF TASTY TONGUE ORANGE , 500 GM , BMTF TASTY TONGUE ORANGE_500 GM ,  325.00 ,  255.00 ,  70.00 ,,,,,,
96, BMTF TASTY TONGUE MANGO , 500 GM , BMTF TASTY TONGUE MANGO_500 GM ,  325.00 ,  255.00 ,  70.00 ,,,,,,
97, BMTF PURE ISABGUL BHUSHI , 75 GM , BMTF PURE ISABGUL BHUSHI_75 GM ,  280.00 ,  230.00 ,  50.00 ,,,,,,
98, BMTF ELECTROLYTE DRINK ORANGE , 225 ML , BMTF ELECTROLYTE DRINK ORANGE_225 ML ,  50.00 ,  40.00 ,  10.00 ,,,,,,
99, BMTF ELECTROLYTE DRINK LEMON , 225 ML , BMTF ELECTROLYTE DRINK LEMON_225 ML ,  50.00 ,  40.00 ,  10.00 ,,,,,,
100, BMTF LICHI DRINK , 250 ML , BMTF LICHI DRINK_250 ML ,  35.00 ,  28.00 ,  7.00 ,,,,,,
101, BMTF VINEGAR , 200 ML , BMTF VINEGAR_200 ML ,  40.00 ,  32.00 ,  8.00 ,,,,,,
102, BMTF VINEGAR , 400 ML , BMTF VINEGAR_400 ML ,  60.00 ,  47.00 ,  13.00 ,,,,,,
103, BULLET BD ELECTROLYTE DRINKS LEMON , 250 ML , BULLET BD ELECTROLYTE DRINKS LEMON_250 ML ,  40.00 ,  32.00 ,  8.00 ,,,,,,
104, BULLET BD ELECTROLYTE DRINKS ORANGE , 250 ML , BULLET BD ELECTROLYTE DRINKS ORANGE_250 ML ,  40.00 ,  32.00 ,  8.00 ,,,,,,
105, IMU VET , 1 LTR , IMU VET_1 LTR ,  338.00 ,  270.00 ,  68.00 ,,,,,,
106, AP VIT C , 10'S , AP VIT C_10'S ,"  1,350.00 ","  1,150.00 ",  200.00 ,,,,,,
107, APITA VET , 10'S , APITA VET_10'S ,  144.00 ,  123.00 ,  21.00 ,,,,,,
108, META VET , 10'S , META VET_10'S ,"  2,150.00 ","  1,750.00 ",  400.00 ,,,,,,
109, FATU VET , 5 KG , FATU VET_5 KG ,"  1,900.00 ","  1,600.00 ",  300.00 ,,,,,,
110, UP VET POWDER(20'S) , 100 GM , UP VET POWDER(20'S)_100 GM ,  360.00 ,  300.00 ,  60.00 ,,,,,,
111, CAL DP VET POWDER , 500 GM , CAL DP VET POWDER_500 GM ,"  1,260.00 ","  1,000.00 ",  260.00 ,,,,,,
112, HEPA LINE VET SYRUP , 1 LTR , HEPA LINE VET SYRUP_1 LTR ,"  1,390.00 ","  1,200.00 ",  190.00 ,,,,,,
113, BOVI SHAMPOO , 5 LTR , BOVI SHAMPOO_5 LTR ,"  1,550.00 ","  1,300.00 ",  250.00 ,,,,,,
114, AP VET SALINE(10 PACK) , 20 GM , AP VET SALINE(10 PACK)_20 GM ,  167.00 ,  130.00 ,  37.00 ,,,,,,
115, ANTI MAST VET POWDER , 100 GM , ANTI MAST VET POWDER_100 GM ,  360.00 ,  270.00 ,  90.00 ,,,,,,
116, HAPPY PET SPRAY , 100 ML , HAPPY PET SPRAY_100 ML ,  360.00 ,  260.00 ,  100.00 ,,,,,,
,,,,,,  -   ,,,,,,
,,,,,,  -   ,,,,,,
,,,,,,  -   ,,,,,,
,,,,,,  -   ,,,,,,
,,,,,,  -   ,,,,,,
,,,,,,  -   ,,,,,,
,,,,,"  33,545.50 ","  8,738.50 ",,,  -   ,  -   ,,
